  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
724940 23234 201308290000 270  22 *** *** SCT * * * 10.0 ** ** ** ** ** ** ** ** *   69   59 1012.5 ***** 1009.4  75  60 ***** ***** ***** ***** ** 
724940 23234 201308290056 280  24 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   68   60 1012.2 29.89 1011.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308290125 270  23  30  10 *** * * * 10.0 ** ** ** ** ** ** ** ** *   66   59 ****** 29.89 1011.6 *** *** ***** ***** ***** ***** ** 
724940 23234 201308290147 270  23 ***   7 *** * * * 10.0 ** ** ** ** ** ** ** ** *   64   59 ****** 29.90 1011.9 *** *** ***** ***** ***** ***** ** 
724940 23234 201308290156 270  24 ***   7 *** * * * 10.0 ** ** ** ** ** ** ** ** *   64   59 1012.3 29.89 1011.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308290256 270  26 ***   5 *** * * * 10.0 ** ** ** ** ** ** ** ** *   64   59 1012.5 29.90 1011.9 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308290356 270  14 ***   5 *** * * * 10.0 ** ** ** ** ** ** ** ** *   63   59 1013.5 29.93 1012.9 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308290456 270  14 ***   5 *** * * * 10.0 ** ** ** ** ** ** ** ** *   63   59 1013.9 29.94 1013.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308290556 270  13 ***   5 *** * * * 10.0 ** ** ** ** ** ** ** ** *   62   59 1014.3 29.95 1013.6  69  62  0.00 ***** ***** ***** ** 
724940 23234 201308290600 270  13 *** *** OVC * * * 10.0 ** ** ** ** ** ** ** ** *   62   59 1014.3 ***** 1011.1  69  60 ***** ***** ***** ***** ** 
724940 23234 201308290656 290  10 ***   6 *** * * * 10.0 ** ** ** ** ** ** ** ** *   62   58 1014.5 29.96 1014.0 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308290719 290  10 ***  10 *** * * * 10.0 ** ** ** ** ** ** ** ** *   63   57 ****** 29.97 1014.3 *** *** ***** ***** ***** ***** ** 
724940 23234 201308290756 270   8 ***  10 *** * * * 10.0 ** ** ** ** ** ** ** ** *   62   57 1015.1 29.98 1014.6  75  59  0.00 ***** ***** ***** ** 
724940 23234 201308290759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  75 *** ***** *****  0.00 ***** ** 
724940 23234 201308290818 260   6 ***   6 *** * * * 10.0 ** ** ** ** ** ** ** ** *   61   57 ****** 29.98 1014.6 *** *** ***** ***** ***** ***** ** 
724940 23234 201308290856 290   5 ***   8 *** * * * 10.0 ** ** ** ** ** ** ** ** *   61   58 1015.1 29.98 1014.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308290956 260   6 ***   8 *** * * * 10.0 ** ** ** ** ** ** ** ** *   62   57 1015.1 29.98 1014.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308291056 290   5 ***   9 *** * * * 10.0 ** ** ** ** ** ** ** ** *   62   57 1015.1 29.98 1014.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308291156 ***   0 ***  10 *** * * * 10.0 ** ** ** ** ** ** ** ** *   61   57 1015.5 29.99 1015.0  63  61  0.00 ***** ***** ***** ** 
724940 23234 201308291200 ***   0 *** *** BKN * * * 10.0 ** ** ** ** ** ** ** ** *   61   57 1015.5 ***** 1012.4  75  61 ***** ***** ***** ***** ** 
724940 23234 201308291256 ***   0 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   62   56 1015.7 29.99 1015.0 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308291356 ***   0 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   62   57 1016.4 30.02 1016.0 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308291411 ***   0 ***  11 *** * * * 10.0 ** ** ** ** ** ** ** ** *   63   57 ****** 30.02 1016.0 *** *** ***** ***** ***** ***** ** 
724940 23234 201308291456 ***   0 ***  11 *** * * * 10.0 ** ** ** ** ** ** ** ** *   63   58 1017.0 30.03 1016.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308291556 340   3 ***  13 *** * * * 10.0 ** ** ** ** ** ** ** ** *   65   59 1017.4 30.05 1017.0 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308291656 300   7 ***  13 *** * * * 10.0 ** ** ** ** ** ** ** ** *   67   59 1017.8 30.06 1017.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308291756 300   8 ***  15 *** * * * 10.0 ** ** ** ** ** ** ** ** *   69   59 1017.9 30.06 1017.3  69  62  0.00 ***** ***** ***** ** 
724940 23234 201308291800 300   8 *** *** BKN * * * 10.0 ** ** ** ** ** ** ** ** *   69   59 1017.9 ***** 1014.8  69  62 ***** ***** ***** ***** ** 
724940 23234 201308291856 300  13 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   72   59 1018.1 30.07 1017.7 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308291956 300  16 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   71   59 1017.8 30.06 1017.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308292056 290  17 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   73   58 1017.7 30.06 1017.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201308292156 290  18 *** 722 *** * * * 10.0 ** ** ** ** ** ** ** ** *   73   58 1017.3 30.04 1016.7 *** ***  0.00 ***** ***** ***** ** 
